NumClients,ClientID,T_KeyGen_MKCKKS_ms,T_KeyGen_ECDH_ms,T_KeyGen_Total_ms,T_Encrypt_ms,T_PartialDec_ms,T_MaskGen_ms,T_ClientTotal_ms
50,41,9.35101,0.752512,10.1035,15.8455,5.16406,145.186,166.195
50,42,9.38029,0.755005,10.1353,15.818,4.86362,149.044,169.725
50,43,9.29042,0.766652,10.0571,15.9176,4.87237,147.267,168.057
50,44,9.38288,0.796714,10.1796,15.7149,5.03198,149.292,170.039
50,45,9.44148,0.820676,10.2622,15.918,4.86875,149.679,170.466
50,46,9.4812,0.757143,10.2383,15.4342,4.96108,149.755,170.151
50,47,9.31566,0.780954,10.0966,16.0543,4.86774,150.85,171.772
50,48,9.39254,0.740207,10.1327,16.029,4.80362,147.179,168.012
50,49,9.37293,0.766361,10.1393,15.9584,4.90069,143.113,163.972
100,0,8.57643,0.805413,9.38184,16.7488,4.69252,307.395,328.836
100,1,8.29511,0.816978,9.11209,16.3587,5.08763,304.158,325.605
100,2,8.65624,0.782777,9.43902,15.9844,4.89444,326.728,347.607
100,3,8.32239,0.829678,9.15207,15.6007,4.77321,405.85,426.224
100,4,9.05562,0.823998,9.87962,16.9025,5.05915,310.586,332.547
100,5,8.46296,0.805124,9.26809,16.3882,5.13759,316.696,338.222
100,6,8.8682,0.832004,9.7002,17.1006,5.07243,302.857,325.03
100,7,9.27632,0.856891,10.1332,15.2818,4.83715,353.841,373.96
100,8,9.01681,0.824727,9.84154,16.1598,4.92945,334.259,355.348
100,9,9.10853,0.833901,9.94243,17.5076,4.68442,324.482,346.674
100,10,8.80044,0.802551,9.60299,16.1283,5.02093,316.977,338.126
100,11,8.99565,0.847116,9.84276,16.4183,5.05579,314.931,336.406
100,12,9.16255,0.823558,9.98611,17.2824,5.08048,313.313,335.676
100,13,8.85165,0.851071,9.70272,17.2995,4.59923,309.21,331.109
100,14,9.06931,0.825326,9.89464,15.8646,4.73802,311.99,332.593
100,15,8.96749,0.801394,9.76889,16.9199,5.34301,334.047,356.31
100,16,9.06351,0.802819,9.86633,16.1211,4.98269,294.499,315.603
100,17,8.73562,0.797042,9.53266,15.4123,4.85853,334.268,354.539
100,18,9.1204,0.795563,9.91597,17.0927,5.21043,354.882,377.185
100,19,9.07653,0.809121,9.88566,15.131,4.6341,292.266,312.031
100,20,8.80874,0.801404,9.61014,15.6903,4.78885,309.918,330.397
