NumClients,DataSize,RingDimension,ClientID,T_KeyGen_MKCKKS_ms,T_KeyGen_ECDH_ms,T_KeyGen_Total_ms,T_Encrypt_ms,T_PartialDec_ms,T_MaskGen_ms,T_ClientTotal_ms
100,65536,131072,4,62.5348,0.720706,63.2555,119.058,35.5212,1310.23,1464.81
100,65536,131072,5,62.625,0.721779,63.3468,127.856,35.4652,1333.89,1497.21
100,65536,131072,6,74.5046,0.735937,75.2406,121.705,34.8578,1358.86,1515.42
100,65536,131072,7,63.3295,0.748906,64.0784,122.259,35.7874,1338.04,1496.08
100,65536,131072,8,63.7059,0.733554,64.4394,122.779,36.4713,1309.33,1468.58
100,65536,131072,9,63.0758,0.724732,63.8005,119.549,34.0949,1289.42,1443.07
100,65536,131072,10,64.9281,0.739643,65.6677,118.847,35.0602,1302.72,1456.63
100,65536,131072,11,65.684,0.7661,66.4501,119.148,35.2533,1303.78,1458.18
100,65536,131072,12,65.3683,0.725453,66.0938,117.404,35.2194,1303.86,1456.48
100,65536,131072,13,64.5279,0.725172,65.2531,117.942,34.2951,1321.76,1474
100,65536,131072,14,63.6813,0.757557,64.4389,127.825,38.0077,1334.87,1500.7
100,65536,131072,15,62.7486,0.7233,63.4719,120.166,35.6521,1323.88,1479.69
100,65536,131072,16,63.1723,0.724141,63.8964,118.863,35.5892,1305.11,1459.57
100,65536,131072,17,62.2735,0.722426,62.9959,118.768,34.9254,1307.66,1461.35
100,65536,131072,18,63.1059,0.702318,63.8082,120.563,35.8416,1311.31,1467.71
100,65536,131072,19,62.3778,0.712222,63.09,119.448,36.0568,1308.06,1463.57
100,65536,131072,20,62.6222,0.703239,63.3255,120.671,37.1432,1325.55,1483.36
100,65536,131072,21,63.7064,0.724128,64.4305,118.542,34.7196,1309.16,1462.42
100,65536,131072,22,62.3222,0.706895,63.0291,118.874,35.6425,1290.81,1445.32
100,65536,131072,23,64.3265,0.889206,65.2157,119.341,35.4271,1284.89,1439.66
100,65536,131072,24,61.927,0.698714,62.6257,117.265,34.7725,1287.49,1439.53
100,65536,131072,25,61.1522,0.714676,61.8669,118.924,35.2973,1296.56,1450.78
100,65536,131072,26,62.1431,0.698904,62.842,119.345,35.6162,1288.45,1443.42
100,65536,131072,27,60.8172,0.690122,61.5074,120.434,36.7623,1285.52,1442.71
100,65536,131072,28,61.4012,0.697752,62.099,120.65,36.223,1269.24,1426.11
100,65536,131072,29,60.9266,0.689541,61.6161,117.627,35.0608,1292.96,1445.65
100,65536,131072,30,60.8143,0.704831,61.5191,119.38,35.8363,1321.91,1477.13
100,65536,131072,31,60.9235,0.700826,61.6244,120.255,35.8578,1295.12,1451.23
100,65536,131072,32,60.4388,0.694327,61.1332,117.749,34.5765,1293.17,1445.5
100,65536,131072,33,60.6211,0.679474,61.3005,119.124,35.501,1335.66,1490.28
100,65536,131072,34,61.6192,0.694675,62.3139,123.669,34.9918,1294.56,1453.23
100,65536,131072,35,60.7942,0.681927,61.4761,118.481,35.2317,1294.81,1448.52
100,65536,131072,36,60.6862,0.711217,61.3974,118.463,35.0698,1278.11,1431.65
100,65536,131072,37,61.1658,0.724116,61.89,119.417,34.7538,1291.72,1445.89
100,65536,131072,38,61.3445,0.684524,62.029,123.279,36.3447,1271.77,1431.4
100,65536,131072,39,61.2665,0.682858,61.9494,123.103,35.4093,1292.31,1450.82
100,65536,131072,40,65.3295,0.705344,66.0349,121.503,36.3268,1291.22,1449.04
100,65536,131072,41,61.8215,0.727328,62.5488,120.324,36.3541,1281.8,1438.48
100,65536,131072,42,62.2978,0.743339,63.0411,121.186,35.5377,1302.04,1458.76
100,65536,131072,43,62.5053,0.716958,63.2223,121.586,35.6498,1277.63,1434.87
100,65536,131072,44,63.0331,0.724236,63.7574,117.67,34.6084,1299.47,1451.75
100,65536,131072,45,62.6539,0.702293,63.3562,119.143,34.6292,1278.86,1432.63
100,65536,131072,46,62.5843,0.716246,63.3005,123.208,35.3406,1274.67,1433.22
100,65536,131072,47,62.6533,0.704933,63.3582,118.241,34.3561,1304.08,1456.67
100,65536,131072,48,62.4671,0.704009,63.1711,120.199,36.3841,1303.98,1460.56
100,65536,131072,49,62.6172,0.70232,63.3195,122.485,36.5383,1286.29,1445.31
100,65536,131072,50,62.8918,0.717398,63.6092,121.001,35.979,1267.06,1424.04
100,65536,131072,51,62.888,0.730277,63.6183,117.83,34.7609,1296.59,1449.18
100,65536,131072,52,62.4381,0.814438,63.2525,118.217,35.8653,1280.45,1434.53
100,65536,131072,53,63.1015,0.953438,64.0549,120.129,35.4328,1286.95,1442.51
100,65536,131072,54,62.1372,0.738649,62.8759,120.139,35.1158,1285.56,1440.82
100,65536,131072,55,62.4066,0.748426,63.155,119.752,35.1109,1288.01,1442.87
100,65536,131072,56,62.2545,0.776383,63.0309,121.536,35.771,1260.95,1418.26
100,65536,131072,57,63,0.729002,63.729,120.803,35.3112,1251.8,1407.91
100,65536,131072,58,60.4451,0.720048,61.1652,122.92,35.0756,1269.01,1427.01
100,65536,131072,59,61.2218,0.713763,61.9355,121.47,35.047,1268.69,1425.21
100,65536,131072,60,61.0859,0.716213,61.8021,119.136,34.5906,1250.04,1403.77
100,65536,131072,61,61.214,0.755071,61.9691,120.19,34.784,1244.14,1399.11
100,65536,131072,62,61.0228,0.727316,61.7501,121.452,35.4401,1268.54,1425.44
100,65536,131072,63,71.5874,0.716304,72.3037,123.932,36.2972,1286.98,1447.2
100,65536,131072,64,73.9384,0.751375,74.6898,117.16,34.4048,1258.3,1409.87
100,65536,131072,65,74.5603,0.730254,75.2906,120.305,35.5452,1282.99,1438.84
100,65536,131072,66,70.6293,0.7318,71.3611,120.846,35.5647,1265.06,1421.47
100,65536,131072,67,70.9434,0.707126,71.6505,123.19,36.377,1287.04,1446.61
100,65536,131072,68,70.7256,0.705691,71.4312,128.613,37.0229,1267.36,1432.99
100,65536,131072,69,71.1119,0.727383,71.8393,118.26,34.7489,1280.14,1433.15
100,65536,131072,70,70.9679,0.717676,71.6856,122.337,35.5237,1267.28,1425.14
100,65536,131072,71,70.7061,0.71485,71.4209,122.027,34.3601,1274.76,1431.15
100,65536,131072,72,71.3526,0.726529,72.0791,123.162,35.9729,1270.54,1429.67
100,65536,131072,73,70.405,0.724736,71.1297,123.943,36.1917,1325.5,1485.63
100,65536,131072,74,69.4021,0.722803,70.1249,124.913,36.08,1298.77,1459.76
100,65536,131072,75,68.8285,0.705795,69.5343,123.911,36.8042,1258.37,1419.09
100,65536,131072,76,68.6016,0.710102,69.3117,116.491,35.2052,1277.94,1429.64
100,65536,131072,77,69.1448,0.716743,69.8615,123.591,35.8913,1303.03,1462.51
100,65536,131072,78,69.0519,0.749269,69.8012,121.629,36.0946,1259.76,1417.48
100,65536,131072,79,69.9927,0.759209,70.7519,117.904,34.3281,1275.28,1427.52
100,65536,131072,80,69.3761,0.703995,70.0801,119.307,35.0302,1254.06,1408.4
100,65536,131072,81,68.9969,0.720885,69.7178,118.383,34.9485,1284.68,1438.01
100,65536,131072,82,70.1848,0.706021,70.8908,118.574,34.4414,1264.55,1417.57
100,65536,131072,83,69.1616,0.717395,69.879,117.795,34.0649,1268.86,1420.72
100,65536,131072,84,69.5689,0.728639,70.2975,120.416,35.1677,1271.62,1427.21
100,65536,131072,85,69.2833,0.732821,70.0162,125.186,35.1349,1255.65,1415.97
100,65536,131072,86,69.3291,0.734075,70.0632,118.599,36.1466,1278.1,1432.85
100,65536,131072,87,72.3458,0.740303,73.0862,117.338,34.4489,1309.28,1461.06
100,65536,131072,88,69.6638,0.725379,70.3892,117.232,34.9293,1273.17,1425.33
100,65536,131072,89,69.6993,0.737023,70.4363,119.69,35.2177,1273.68,1428.59
100,65536,131072,90,69.1958,0.735258,69.9311,122.374,35.7582,1257.16,1415.29
100,65536,131072,91,69.3137,0.716693,70.0304,118.639,35.0838,1271.36,1425.08
100,65536,131072,92,69.6044,0.744703,70.3491,117.286,35.1672,1271.58,1424.03
100,65536,131072,93,69.026,0.713022,69.7391,117.2,34.3377,1243.67,1395.21
100,65536,131072,94,69.2839,0.732649,70.0165,118.733,34.3732,1251.79,1404.9
100,65536,131072,95,68.8476,0.716241,69.5639,120.748,35.824,1268.6,1425.17
100,65536,131072,96,70.0915,0.738918,70.8304,116.672,35.0171,1265.2,1416.89
100,65536,131072,97,67.9367,0.714275,68.6509,117.939,34.9029,1263.36,1416.21
100,65536,131072,98,68.5439,0.700083,69.244,117.784,33.9748,1293.47,1445.23
100,65536,131072,99,68.9403,0.721687,69.662,117.217,34.2457,1269.9,1421.37
200,65536,131072,0,79.6221,0.725115,80.3472,121.204,35.1329,2552.52,2708.86
200,65536,131072,1,62.7127,0.705395,63.4181,119.688,35.5071,2690.68,2845.87
200,65536,131072,2,62.9771,0.703331,63.6804,126.6,36.5896,2686.86,2850.05
200,65536,131072,3,63.0179,0.717847,63.7357,117.19,34.626,2626.39,2778.2
200,65536,131072,4,63.0832,0.701038,63.7843,127.47,37.1604,2620.51,2785.14
200,65536,131072,5,66.2009,0.714541,66.9155,118.08,34.3133,2654.12,2806.51
200,65536,131072,6,64.8228,0.718829,65.5417,119.876,35.4697,2634.65,2790
200,65536,131072,7,62.0487,0.707379,62.7561,116.682,35.2094,2620.73,2772.62
200,65536,131072,8,62.8102,0.693855,63.504,117.945,34.6112,2618.25,2770.8
200,65536,131072,9,63.5656,0.71938,64.285,116.703,34.0524,2674.78,2825.54
200,65536,131072,10,63.5876,0.716706,64.3043,116.763,34.2097,2643.28,2794.25
200,65536,131072,11,64.0718,0.711978,64.7838,116.151,34.7626,2606.52,2757.43
