NumClients,DataSize,RingDimension,T_Aggregate_ms,T_Decode_ms,T_ServerTotal_ms
500,4096,16384,22.041,45.406,67.447
500,8192,16384,25.6188,46.0262,71.645
500,16384,32768,43.9389,100.065,144.004
500,32768,65536,93.8294,184.159,277.988
500,65536,131072,219.571,376.964,596.535
